"ID","Type","System","Difficulty","File","Line","Content","Status","AssignedDate","CompletedDate","Notes"
"ISSUE-11","BUG","Other","MEDIUM","src\server\game\Achievements\AchievementMgr.cpp","3016","LOG_DEBUG('achievement', 'Table `achievement_reward` (Entry: {}) has title (A: {} H: {}) set for only one team.', entry, reward.titleId[0], reward.titleId[1]);","COMPLETED","","2025-12-03","Other system reviewed and resolved"
"ISSUE-12","BUG","Other","MEDIUM","src\server\game\Achievements\AchievementMgr.cpp","3077","// Not sure it's an error, it's probably an outDebug instead, because we can simply send a mail with no reward, right?","COMPLETED","","2025-12-03","Other system reviewed and resolved"
"ISSUE-13","TODO","Combat","MEDIUM","src\server\game\AI\CoreAI\CombatAI.cpp","241","/// @todo: use one function to replace it","COMPLETED","","2025-12-02",""
"ISSUE-14","BUG","Combat","MEDIUM","src\server\game\AI\CoreAI\CombatAI.cpp","305","LOG_DEBUG('condition', 'VehicleAI::LoadConditions: loaded {} conditions', uint32(conditions.size()));","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code, not a bug"
"ISSUE-15","BUG","AI","MEDIUM","src\server\game\AI\CoreAI\GuardAI.cpp","49","LOG_DEBUG('entities.unit', 'Guard entry: {} enters evade mode.', me->GetEntry());","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-16","BUG","AI","MEDIUM","src\server\game\AI\CoreAI\PetAI.cpp","76","LOG_DEBUG('entities.unit.ai', 'Creature stoped attacking cuz his dead [{}]', me->GetGUID().ToString());","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-17","BUG","AI","MEDIUM","src\server\game\AI\CoreAI\PetAI.cpp","172","LOG_DEBUG('entities.unit.ai', 'Pet AI stopped attacking [{}]', me->GetGUID().ToString());","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-18","TODO","AI","HIGH","src\server\game\AI\CoreAI\PetAI.cpp","532","return nullptr; /// @todo: try for another target","COMPLETED","","2025-12-02",""
"ISSUE-19","TODO","AI","MEDIUM","src\server\game\AI\CoreAI\TotemAI.cpp","27","/// @todo: this import is not necessary for compilation and marked as unused by the IDE","COMPLETED","","2025-12-02",""
"ISSUE-20","BUG","AI","MEDIUM","src\server\game\AI\CoreAI\UnitAI.cpp","126","std::string UnitAI::GetDebugInfo() const","COMPLETED","","2025-12-03","AI system reviewed and resolved"
"ISSUE-21","BUG","AI","HIGH","src\server\game\AI\CoreAI\UnitAI.cpp","130","<< 'Me: ' << (me ? me->GetDebugInfo() : 'NULL');","COMPLETED","","2025-12-03","AI system reviewed and resolved"
"ISSUE-22","TODO","AI","MEDIUM","src\server\game\AI\CoreAI\UnitAI.h","107","/// @todo: Add more checks from Spell::CheckCast","COMPLETED","","2025-12-02",""
"ISSUE-23","TODO","AI","MEDIUM","src\server\game\AI\CoreAI\UnitAI.h","349","* @todo Never invoked right now. Preparation for Combat Threat refactor","COMPLETED","","2025-12-02",""
"ISSUE-24","TODO","AI","MEDIUM","src\server\game\AI\CoreAI\UnitAI.h","356","* @todo Never invoked right now. Preparation for Combat Threat refactor","COMPLETED","","2025-12-02",""
"ISSUE-25","BUG","AI","MEDIUM","src\server\game\AI\CoreAI\UnitAI.h","421","virtual std::string GetDebugInfo() const;","COMPLETED","","2025-12-03","AI system reviewed and resolved"
"ISSUE-26","TODO","Creature","MEDIUM","src\server\game\AI\ScriptedAI\ScriptedCreature.cpp","28","/// @todo: this import is not necessary for compilation and marked as unused by the IDE","COMPLETED","","2025-12-02",""
"ISSUE-27","BUG","AI","MEDIUM","src\server\game\AI\ScriptedAI\ScriptedEscortAI.cpp","202","LOG_DEBUG('scripts.ai', 'EscortAI has left combat and is now returning to last point');","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-28","BUG","AI","MEDIUM","src\server\game\AI\ScriptedAI\ScriptedEscortAI.cpp","328","LOG_DEBUG('scripts.ai', 'EscortAI has returned to original position before combat');","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-29","BUG","AI","MEDIUM","src\server\game\AI\ScriptedAI\ScriptedEscortAI.cpp","337","LOG_DEBUG('scripts.ai', 'EscortAI has returned to original home location and will continue from beginning of waypoint list.');","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-30","TODO","AI","MEDIUM","src\server\game\AI\ScriptedAI\ScriptedEscortAI.cpp","418","//TODO: get rid of this many variables passed in function.","COMPLETED","","2025-12-02",""
"ISSUE-31","BUG","AI","MEDIUM","src\server\game\AI\ScriptedAI\ScriptedEscortAI.cpp","457","LOG_DEBUG('scripts.ai', 'EscortAI is set to return home after waypoint end and instant respawn at waypoint end. Creature will never despawn.');","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-32","BUG","AI","MEDIUM","src\server\game\AI\ScriptedAI\ScriptedEscortAI.cpp","463","LOG_DEBUG('scripts.ai', 'EscortAI start with WAYPOINT_MOTION_TYPE, changed to MoveIdle.');","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-33","BUG","AI","MEDIUM","src\server\game\AI\ScriptedAI\ScriptedEscortAI.cpp","474","LOG_DEBUG('scripts.ai', 'EscortAI started with {} waypoints. ActiveAttacker = {}, PlayerGUID = {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-34","BUG","AI","MEDIUM","src\server\game\AI\ScriptedAI\ScriptedFollowerAI.cpp","43","// This is done in Unit::Attack function which wont bug npcs by not adding threat upon combat start...","COMPLETED","","2025-12-03","AI system reviewed and resolved"
"ISSUE-35","TODO","AI","MEDIUM","src\server\game\AI\ScriptedAI\ScriptedFollowerAI.cpp","111","//TODO: need a better check for quests with time limit.","COMPLETED","","2025-12-02",""
"ISSUE-36","BUG","AI","MEDIUM","src\server\game\AI\ScriptedAI\ScriptedFollowerAI.cpp","155","LOG_DEBUG('scripts.ai', 'FollowerAI left combat, returning to CombatStartPosition.');","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-37","BUG","AI","MEDIUM","src\server\game\AI\ScriptedAI\ScriptedFollowerAI.cpp","181","LOG_DEBUG('scripts.ai', 'FollowerAI is set completed, despawns.');","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-38","BUG","AI","MEDIUM","src\server\game\AI\ScriptedAI\ScriptedFollowerAI.cpp","192","LOG_DEBUG('scripts.ai', 'FollowerAI is returning to leader.');","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-39","BUG","AI","MEDIUM","src\server\game\AI\ScriptedAI\ScriptedFollowerAI.cpp","221","LOG_DEBUG('scripts.ai', 'FollowerAI failed because player/group was to far away or not found');","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-40","BUG","AI","MEDIUM","src\server\game\AI\ScriptedAI\ScriptedFollowerAI.cpp","264","LOG_DEBUG('scripts.ai', 'FollowerAI attempt to StartFollow while in combat.');","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-41","BUG","AI","MEDIUM","src\server\game\AI\ScriptedAI\ScriptedFollowerAI.cpp","286","LOG_DEBUG('scripts.ai', 'FollowerAI start with WAYPOINT_MOTION_TYPE, set to MoveIdle.');","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-42","BUG","AI","MEDIUM","src\server\game\AI\ScriptedAI\ScriptedFollowerAI.cpp","295","LOG_DEBUG('scripts.ai', 'FollowerAI start follow {} ({})', player->GetName(), m_uiLeaderGUID.ToString());","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-43","BUG","AI","MEDIUM","src\server\game\AI\ScriptedAI\ScriptedFollowerAI.cpp","314","LOG_DEBUG('scripts.ai', 'FollowerAI GetLeader changed and returned new leader.');","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-44","BUG","AI","MEDIUM","src\server\game\AI\ScriptedAI\ScriptedFollowerAI.cpp","323","LOG_DEBUG('scripts.ai', 'FollowerAI GetLeader can not find suitable leader.');","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-45","TODO","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartAI.cpp","531","//TODO move to void","COMPLETED","","2025-12-02",""
"ISSUE-46","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartAI.cpp","1218","LOG_DEBUG('sql.sql', 'SmartGameObjectAI::GossipHello');","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-47","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartAI.cpp","1318","LOG_DEBUG('sql.sql', 'AreaTrigger {} is using SmartTrigger script', trigger->entry);","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-48","TODO","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","40","/// @todo: this import is not necessary for compilation and marked as unused by the IDE","COMPLETED","","2025-12-02",""
"ISSUE-49","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","184","LOG_DEBUG('sql.sql', 'SmartScript::ProcessAction: Invoker: {} ({})', tempInvoker->GetName(), tempInvoker->GetGUID().ToString());","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-50","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","243","LOG_DEBUG('sql.sql', 'SmartScript::ProcessAction: SMART_ACTION_TALK: talker: {} ({}), textId: {}', talker->GetName(), talker->GetGUID().ToString(), mLastTextID);","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-51","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","258","LOG_DEBUG('sql.sql', 'SmartScript::ProcessAction:: SMART_ACTION_SIMPLE_TALK: talker: {} ({}), textGroupId: {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-52","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","270","LOG_DEBUG('sql.sql', 'SmartScript::ProcessAction:: SMART_ACTION_PLAY_EMOTE: target: {} ({}), emote: {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-53","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","286","LOG_DEBUG('sql.sql', 'SmartScript::ProcessAction:: SMART_ACTION_SOUND: target: {} ({}), sound: {}, onlyself: {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-54","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","321","LOG_DEBUG('sql.sql', 'SmartScript::ProcessAction:: SMART_ACTION_RANDOM_SOUND: target: {} ({}), sound: {}, onlyself: {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-55","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","367","LOG_DEBUG('sql.sql', 'SmartScript::ProcessAction:: SMART_ACTION_MUSIC: target: {} ({}), sound: {}, onlySelf: {}, type: {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-56","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","436","LOG_DEBUG('sql.sql', 'SmartScript::ProcessAction:: SMART_ACTION_RANDOM_MUSIC: target: {} ({}), sound: {}, onlyself: {}, type: {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-57","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","452","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction:: SMART_ACTION_SET_FACTION: Creature entry {}, GuidLow {} set faction to {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-58","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","462","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction:: SMART_ACTION_SET_FACTION: Creature entry {}, GuidLow {} set faction to {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-59","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","487","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction:: SMART_ACTION_MORPH_TO_ENTRY_OR_MODEL: Creature entry {}, GuidLow {} set displayid to {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-60","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","495","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction:: SMART_ACTION_MORPH_TO_ENTRY_OR_MODEL: Creature entry {}, GuidLow {} set displayid to {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-61","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","502","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction:: SMART_ACTION_MORPH_TO_ENTRY_OR_MODEL: Creature entry {}, GuidLow {} demorphs.',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-62","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","515","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction:: SMART_ACTION_FAIL_QUEST: Player guidLow {} fails quest {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-63","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","537","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction:: SMART_ACTION_OFFER_QUEST: Player guidLow {} - offering quest {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-64","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","545","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction:: SMART_ACTION_OFFER_QUEST: Player guidLow {} - quest {} added',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-65","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","576","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction:: SMART_ACTION_RANDOM_EMOTE: Creature guidLow {} handle random emote {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-66","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","593","LOG_DEBUG('sql.sql', 'SmartScript::ProcessAction:: SMART_ACTION_THREAT_ALL_PCT: Creature {} modify threat for unit {}, value {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-67","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","609","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction:: SMART_ACTION_THREAT_SINGLE_PCT: Creature guidLow {} modify threat for unit {}, value {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-68","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","630","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction:: SMART_ACTION_CALL_AREAEXPLOREDOREVENTHAPPENS: Player guidLow {} credited quest {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-69","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","762","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction:: SMART_ACTION_CAST: Unit {} casts spell {} on target {} with castflags {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-70","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","858","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction:: SMART_ACTION_INVOKER_CAST: Invoker {} casts spell {} on target {} with castflags {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-71","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","863","LOG_DEBUG('scripts.ai', 'Spell {} not cast because it has flag SMARTCAST_AURA_NOT_PRESENT and the target {} already has the aura',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-72","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","876","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction:: SMART_ACTION_ADD_AURA: Adding aura {} to unit {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-73","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","897","LOG_DEBUG('sql.sql', 'SmartScript::ProcessAction:: SMART_ACTION_ACTIVATE_GOBJECT. Gameobject {} activated', go->GetGUID().ToString());","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-74","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","910","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction:: SMART_ACTION_RESET_GOBJECT. Gameobject {} (entry: {}) reset',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-75","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","923","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction:: SMART_ACTION_SET_EMOTE_STATE. Unit {} set emotestate to {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-76","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","938","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction:: SMART_ACTION_SET_UNIT_FLAG. Unit {} added flag {} to UNIT_FIELD_FLAGS',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-77","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","944","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction:: SMART_ACTION_SET_UNIT_FLAG. Unit {} added flag {} to UNIT_FIELD_FLAGS_2',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-78","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","960","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction:: SMART_ACTION_REMOVE_UNIT_FLAG. Unit {} removed flag {} to UNIT_FIELD_FLAGS',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-79","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","966","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction:: SMART_ACTION_REMOVE_UNIT_FLAG. Unit {} removed flag {} to UNIT_FIELD_FLAGS_2',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-80","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","979","LOG_DEBUG('sql.sql', 'SmartScript::ProcessAction:: SMART_ACTION_AUTO_ATTACK: Creature: {} bool on = {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-81","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","990","LOG_DEBUG('sql.sql', 'SmartScript::ProcessAction:: SMART_ACTION_ALLOW_COMBAT_MOVEMENT: Creature {} bool on = {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-82","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","1000","LOG_DEBUG('sql.sql', 'SmartScript::ProcessAction:: SMART_ACTION_SET_EVENT_PHASE: Creature {} set event phase {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-83","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","1011","LOG_DEBUG('sql.sql', 'SmartScript::ProcessAction:: SMART_ACTION_INC_EVENT_PHASE: Creature {} inc event phase by {}, '","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-84","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","1039","LOG_DEBUG('sql.sql', 'SmartScript::ProcessAction:: SMART_ACTION_FLEE_FOR_ASSIST: Creature {} DoFleeToGetAssistance', me->GetGUID().ToString());","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-85","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","1063","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction: SMART_ACTION_CALL_GROUPEVENTHAPPENS: Player {}, group credit for quest {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-86","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","1101","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction: SMART_ACTION_REMOVEAURASFROMSPELL: Unit {}, spell {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-87","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","1123","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction: SMART_ACTION_FOLLOW: Creature {} following target {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-88","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","1141","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction: SMART_ACTION_RANDOM_PHASE: Creature {} sets event phase to {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-89","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","1152","LOG_DEBUG('sql.sql', 'SmartScript::ProcessAction: SMART_ACTION_RANDOM_PHASE_RANGE: Creature {} sets event phase to {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-90","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","1161","LOG_DEBUG('sql.sql', 'SmartScript::ProcessAction: SMART_ACTION_CALL_KILLEDMONSTER: (trigger == true) Player {}, Killcredit: {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-91","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","1172","LOG_DEBUG('sql.sql', 'SmartScript::ProcessAction: SMART_ACTION_CALL_KILLEDMONSTER: Player {}, Killcredit: {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-92","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","1188","LOG_DEBUG('sql.sql', 'SmartScript::ProcessAction: SMART_ACTION_CALL_KILLEDMONSTER: Player {}, Killcredit: {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-93","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","1215","LOG_DEBUG('scripts.ai.sai', 'SmartScript::ProcessAction: SMART_ACTION_SET_INST_DATA: Field: {}, data: {}', e.action.setInstanceData.field, e.action.setInstanceData.data);","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-94","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","1220","LOG_DEBUG('scripts.ai.sai', 'SmartScript::ProcessAction: SMART_ACTION_SET_INST_DATA: SetBossState BossId: {}, State: {} ({})', e.action.setInstanceData.field, e.action.setInstanceData.data, InstanceScript::GetBossStateName(e.action.setInstanceData.data));","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-95","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","1249","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction: SMART_ACTION_SET_INST_DATA64: Field: {}, data: {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-96","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","1272","LOG_DEBUG('sql.sql', 'SmartScript::ProcessAction: SMART_ACTION_DIE: Creature {}', me->GetGUID().ToString());","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-97","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","1280","LOG_DEBUG('sql.sql', 'SmartScript::ProcessAction: SMART_ACTION_DIE: Creature {}', me->GetGUID().ToString());","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
"ISSUE-98","BUG","AI","MEDIUM","src\server\game\AI\SmartScripts\SmartScript.cpp","1310","LOG_DEBUG('scripts.ai', 'SmartScript::ProcessAction: SMART_ACTION_SET_IN_COMBAT_WITH_ZONE: Creature {}, target: {}',","COMPLETED","","2025-12-03","LOG_DEBUG statement - proper debugging code"
